City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,richards bay,-28.783,32.0377,290.71,56,96,7.21,ZA,1698648450
311,kanniyakumari,8.0833,77.5667,301.26,72,100,5.67,IN,1698648450
312,brisas de zicatela,15.8369,-97.0419,298.74,88,20,1.88,MX,1698648451
313,sidi khaled,34.387,4.9879,293.18,33,99,0.81,DZ,1698648451
314,amal,59.051,12.7049,274.87,98,100,8.94,SE,1698648451
315,saint-philippe,-21.3585,55.7679,302.92,80,42,6.09,RE,1698648451
316,antofagasta,-23.65,-70.4,288.75,83,37,2.31,CL,1698648452
317,quarai,-30.3875,-56.4514,293.6,90,93,6.0,BR,1698648452
318,vaskelovo,60.3693,30.3534,272.82,93,90,2.7,RU,1698648452
319,kununurra,-15.7667,128.7333,310.14,34,96,5.66,AU,1698648378
320,whangarei,-35.7317,174.3239,289.25,98,100,5.43,NZ,1698648452
321,chernomorskoye,45.5039,32.6997,290.39,61,6,3.68,UA,1698648453
322,kawalu,-7.3817,108.2082,305.21,44,76,4.03,ID,1698648453
323,nar'yan-mar,67.6713,53.087,265.99,93,100,6.26,RU,1698648453
324,santa cruz,-17.8,-63.1667,297.85,88,75,8.23,BO,1698648454
325,sydney mines,46.2367,-60.2177,278.15,84,75,3.09,CA,1698648370
326,lauro de freitas,-12.8944,-38.3272,298.16,78,40,4.12,BR,1698648454
327,vadso,70.0744,29.7487,266.24,93,20,5.66,NO,1698648406
328,khash,28.2211,61.2158,297.4,26,6,0.63,IR,1698648454
329,burang,30.25,81.1667,279.3,31,20,2.79,CN,1698648455
330,son la,21.3167,103.9,298.11,66,62,1.6,VN,1698648455
331,saint-paul-les-dax,43.7272,-1.0516,288.91,96,100,2.06,FR,1698648455
332,fort bragg,35.139,-79.006,292.0,90,0,2.57,US,1698648455
333,antsiranana,-12.2787,49.2917,303.06,58,34,8.39,MG,1698648456
334,ujae,8.9322,165.7642,301.65,80,100,7.74,MH,1698648456
335,vila franca do campo,37.7167,-25.4333,287.38,99,100,0.89,PT,1698648456
336,paradip garh,20.3167,86.6167,301.99,51,0,4.22,IN,1698648456
337,paredon,16.0333,-93.8667,298.77,80,100,2.74,MX,1698648457
338,qarazhal,48.0078,70.7903,287.25,61,99,9.21,KZ,1698648457
339,svetlyy,54.675,20.1347,284.24,86,100,7.93,RU,1698648457
340,guerrero negro,27.9769,-114.0611,292.52,52,0,2.12,MX,1698648159
341,songkhla,6.8333,100.6667,305.18,77,94,3.47,TH,1698648457
342,luganville,-15.5333,167.1667,298.88,82,72,3.54,VU,1698648458
343,sur,22.5667,59.5289,302.83,53,5,4.01,OM,1698648458
344,jabor,5.921,169.6434,302.05,74,100,4.63,MH,1698648458
345,myrina,39.8797,25.0742,291.73,94,20,4.12,GR,1698648458
346,as sulayyil,20.4607,45.5779,298.29,25,72,5.51,SA,1698648458
347,banamba,13.55,-7.45,299.71,50,100,1.91,ML,1698648458
348,itacare,-14.2775,-38.9967,296.2,74,100,1.58,BR,1698648459
349,kudat,6.8837,116.8477,304.11,74,20,5.36,MY,1698648459
350,arno,60.1167,18.6333,276.36,81,100,6.01,SE,1698648459
351,camacupa,-12.0167,17.4833,296.88,55,100,1.47,AO,1698648459
352,fallon,39.4735,-118.7774,269.08,54,0,0.0,US,1698648459
353,poltavka,54.3663,71.7632,272.05,95,100,5.16,RU,1698648460
354,kariba,-16.5167,28.8,299.24,59,100,2.52,ZW,1698648460
355,masuguru,-11.3667,38.4167,301.6,61,100,1.58,TZ,1698648460
356,obock,12.25,43.0833,298.81,54,98,7.69,DJ,1698648460
357,kaohsiung,22.6163,120.3133,303.12,62,75,5.14,TW,1698648460
358,san jose de jachal,-30.2406,-68.7469,289.35,19,64,1.74,AR,1698648461
359,shantobe,52.4581,68.1839,278.05,95,100,6.81,KZ,1698648461
360,harstad,68.799,16.5293,272.68,95,94,2.24,NO,1698648461
361,nouadhibou,20.931,-17.0347,292.14,94,40,4.12,MR,1698648461
362,peace river,56.2501,-117.286,268.32,86,75,0.0,CA,1698648410
363,canton,23.1167,113.25,304.19,49,95,3.08,CN,1698648461
